Object Type,Object Name,en-US,he-IL
Table,Customers,Customers,הלקוחות
Column,Customers[City Name],City Name,שם עיר
Column,Customers[Birth Date],Birth Date,תאריך לידה
Column,Customers[Customer],Customer,לקוח
Column,Customers[City],City,עיר
Column,Customers[Age],Age,גיל
Column,Customers[Flag],Flag,דגל
Table,Sales,Sales,מכירות
Measure,Sales[Sales Revenue],Sales Revenue,הכנסות ממכירות
Measure,Sales[Units Sold],Units Sold,יחידות שנמכרו
Measure,Sales[Customer Count],Customer Count,ספירת לקוחות
Measure,Sales[Order Count],Order Count,ספירת הזמנות
Measure,Sales[Product Rank],Product Rank,דירוג מוצר
Measure,Sales[Customer Rank],Customer Rank,דירוג לקוח
Table,Calendar,Calendar,לוח שנה
Column,Calendar[Date],Date,תמר
Column,Calendar[Year],Year,שנה
Column,Calendar[Quarter],Quarter,רבע
Column,Calendar[Month],Month,חודש
Measure,Localized Labels[Sales by Product],Sales by Product,מכירות לפי מוצר
Measure,Localized Labels[Home],Home,הביתה
Measure,Localized Labels[Sales by Country],Sales by Country,מכירות לפי מדינה
Measure,Localized Labels[European Sales Report],European Sales Report,דוח מכירות אירופי
Measure,Localized Labels[Top 5 Products],Top 5 Products,5 המוצרים המובילים
Measure,Localized Labels[Filter by Country],Filter by Country,סנן לפי מדינה
Measure,Localized Labels[Top 10 Customers],Top 10 Customers,10 הלקוחות המובילים
Measure,Localized Labels[Sales by Category],Sales by Category,מכירות לפי קטגוריה
Measure,Localized Labels[Sales by City],Sales by City,מכירות לפי עיר
Measure,Localized Labels[Power BI],Power BI,הספק BI
Measure,Localized Labels[Dev Camp],Dev Camp,מחנה דב
Measure,Localized Labels[Set Country Filter],Set Country Filter,הגדרת מסנן מדינה
Measure,Localized Labels[Set Product Filter],Set Product Filter,הגדרת מסנן מוצרים
Measure,Localized Labels[User Culture],User Culture,תרבות משתמש
Table,Products,Products,מוצרים
Column,Products[LanguageTag],LanguageTag,תגית שפה
Column,Products[Product],Product,מכפלה
Column,Products[Category],Category,קטגוריה
Column,Products[Price],Price,מחיר
Column,Products[Image],Image,תמונה
Table,Countries,Countries,מדינות
Column,Countries[LanguageTag],LanguageTag,תגית שפה
Column,Countries[Country],Country,מדינה
Column,Countries[Flag],Flag,דגל
